level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5,country,Greece,1005,1135,1144,977,981,1053,1058,984,71.2,561.8999999,1108.162889,1589.337008,39.55578561,1275.23323,2101.655771,623.2900561,5354.887028,2111.305462,4498.626726,2436.364596,329.9141109,1143.135527,1739.702477,2818.248224,2686.834876,1268.160975,2765.153451,3484.812643,3973.329302,5019.20683,3212.505682,6328.189201,8451.395568,5163.499206,7304.275407
5,country,Hungary,553.8089999,1470.419,1477.004,2442.954,1143.371,5103.486605,3299.576146,4167.317669,3334.861149,3311.936107,2764.061819,3936.045586,2993.565399,2137.401419,4265.732493,7708.959225,6817.544536,3950.835121,6018.798826,1966.088659,2230.489934,6317.699391,14384.79093,3416.288539,7799.93979,-14716.33346,-5645.715176,3274.459971,6223.407186,3971.726532,6777.525469,8717.06653,9695.349849,6717.770044,5737.302634
5,country,Ireland,621.9109999,1361.668,1458.175,1077.89,856.979,1442.925,2617.483,2028.797815,8862.216911,18210.64171,25779.43615,9650.92035,29323.79653,22781.29282,-10607.6127,-31689.3001,-5542.306819,24707.17373,-16452.92416,25715.32959,42804.07128,23544.70324,48883.84081,47360.3825,52512.85321,215477.6434,23323.59257,69458.09469,-5691.024266,163804.9158,109560.6426,-11597.95339,-55847.36696,-2677.219843,-38890.99352
5,country,Italy,6344.876,2481.577,3209.808,3746.619,2235.95,4816.515,3535.094,4961.472,4280.245,6911.159598,13374.7927,14870.56044,17054.88118,19424.38326,20125.86094,23291.29981,42580.92358,43849.3481,-10835.31695,20076.60004,9178.260898,34323.80396,92.51002834,24279.30141,23253.88296,19635.12371,28468.51741,21647.417,35156.2404,20314.96424,-20946.74394,-1590.785978,31363.99249,32634.83413,24725.88728
5,country,Latvia,0,0,31.5,44.11601373,212.6324252,178.2942208,382.3640488,522.3345158,355.8295314,346.4549436,328.3397826,105.1802668,209.8724766,279.8989655,607.1781118,706.3622345,1663.444736,2323.996288,1264.144725,-22.22706896,419.8425259,1467.981734,1111.405202,901.7863072,896.7358814,738.9326528,254.5881207,742.1967669,960.1167729,925.805686,993.7110654,3335.328222,1467.94942,1373.210501,1211.18315
5,country,Lithuania,0,0,10,31.2403604,31.339325,72.5575,152.43,354.4925,925.5,486.4575,378.8725,445.8125,724.9711718,180.4094914,844.4245777,1134.594339,2023.355968,2289.437451,1793.957593,-448.0977102,1019.541882,1798.972691,802.087643,573.8893685,-498.625005,1054.987241,300.1151181,1345.296596,971.5484215,1440.529019,488.4375435,2659.32106,3774.746637,2533.508499,3271.276884
5,country,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,4243.174365,4291.105683,5179.643439,4644.769483,32219.53464,-29679.42581,7117.112828,27255.15425,39128.52876,8843.156717,2824.125588,23299.02384,20060.31379,45432.15356,17580.97009,-27369.77666,-83336.48255,163717.5968,-3358.058083,24809.16482,-316383.1158,-9279.442931,105986.6434
5,country,Malta,45.7939999,76.983,39.542,69.48408115,155.8288634,129.287173,293.0094103,82.00722343,277.2486228,856.6267538,581.5570296,235.2321149,-418.6769121,959.7847141,12608.15841,25083.20897,17691.38647,39620.09614,12688.79599,2906.948043,5409.466323,21875.92885,14183.92805,12007.75563,11204.96858,5069.237768,4248.432623,6571.768959,4156.303232,-1970.932948,1907.62165,1921.902935,2415.269938,1839.660157,5370.676769
5,country,Netherlands,11063.315,6074.612329,6392.101324,6359.115239,7031.611503,11723.69591,16186.76489,11181.06879,37277.25342,41203.16164,63854.98434,51927.49953,25038.25702,32899.86615,12452.36632,39047.15714,13977.70282,114161.1852,-6776.430952,59321.81505,18812.8741,104991.402,33286.76567,113799.668,110148.8449,346507.4892,130974.2977,136540.256,-30046.57688,-130007.9707,-131779.6133,-27618.02822,-80271.57526,-184352.3592,9274.960742
5,country,Poland,88,359,678,1715,1875.209041,3658.1745,4498.720374,4910.209222,6398.400184,7270.784022,9445.314963,5579.255161,4030.107255,3982.305977,12140.25032,8203.217716,14577.49558,19836.21948,12283.03901,10039.32449,13874.44035,20693.85895,5516.529814,3999.373541,16404.13499,15900.94177,16436.67666,10721.47709,17265.91535,15343.22644,15779.47977,30661.43058,35144.3381,28362.40515,12740.08082
